,phrase,label,sentiment,subjectivity,language,count
Großeinsätze,Großeinsätze,LOC,0.0,0.0,de,3
Bad Harzburg,Bad Harzburg,LOC,0.0,0.0,de,3
Kommunen,Kommunen,LOC,-0.2333333333333333,0.0,de,3
Arizona,Arizona,LOC,0.0,0.0,de,3
Waldbrand am Burgberg,Waldbrand am Burgberg,LOC,-0.6999999999999998,0.0,de,3
Südfrankreichs,Südfrankreichs,LOC,0.6666666666666666,0.3333333333333333,de,3
Medebach,Medebach,LOC,0.0,0.0,de,3
Canakkale,Canakkale,LOC,0.6999999999999998,0.0,de,3
Ávila,Ávila,LOC,-0.2333333333333333,0.0,de,3
Bereitschaft,Bereitschaft,LOC,0.0,0.0,de,3
Westküstenmetropole,Westküstenmetropole,LOC,-0.2333333333333333,0.0,de,3
Provinz Ávila jed…,Provinz Ávila jed…,LOC,0.0,0.0,de,3
Waldbrandkatastrophe,Waldbrandkatastrophe,LOC,0.0,0.6666666666666666,de,3
Ventura County,Ventura County,LOC,0.0,0.0,de,3
Wolframs-Eschenbach,Wolframs-Eschenbach,LOC,0.3333333333333333,0.0,de,3
Dresdner Heide,Dresdner Heide,LOC,0.0,0.0,de,3
Brandenburger Landkreisen,Brandenburger Landkreisen,LOC,-0.2333333333333333,0.0,de,3
Oberhavel,Oberhavel,LOC,0.0,0.0,de,3
Wachenheim,Wachenheim,LOC,0.0,0.0,de,3
Schramberg,Schramberg,LOC,-1.0,0.0,de,3
Königsforst,Königsforst,LOC,0.4666666666666666,0.0,de,3
US-Westküstenstaat,US-Westküstenstaat,LOC,0.0,0.0,de,3
Flammen-Hölle,Flammen-Hölle,LOC,0.0,0.3333333333333333,de,3
Glashütten,Glashütten,LOC,-0.3333333333333333,0.0,de,3
